nameWithOwner,url,createdAt,stargazers,releases
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,73935,0
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,60293,129
